ZIP	Estimate; Total:	Estimate; Male:	Estimate; Male: - 65 to 69 years:	Estimate; Male: - 70 to 74 years:	Estimate; Male: - 75 years and over:	Estimate; Female:	Estimate; Female: - 65 to 69 years:	Estimate; Female: - 70 to 74 years:	Estimate; Female: - 75 years and over:	 Male: Age: 65 and over	 Female: Age: 65 and over	 Overall People Age: 65 and over
92863	3837	1894	119	98	125	1943	96	100	261	342	457	799
92865	35308	17450	716	530	873	17858	742	615	1252	2119	2609	4728
92866	17208	8079	364	206	300	9129	429	200	712	870	1341	2211
92867	61392	30208	1586	1347	1823	31184	1718	1166	2538	4756	5422	10178
92868	39683	21879	734	533	621	17804	753	379	1283	1888	2415	4303
92869	40590	19967	1099	1173	1251	20623	1341	1091	1786	3523	4218	7741
92870	68083	32821	1635	1110	1892	35262	1961	1302	3181	4637	6444	11081
92871	6457	3235	65	35	72	3222	21	80	233	172	334	506
92885	5596	2788	315	108	234	2808	339	69	452	657	860	1517
92886	62636	30413	2248	1353	1970	32223	2086	1449	2684	5571	6219	11790
92887	23271	11323	745	516	481	11948	670	433	671	1742	1774	3516
92899	67	35	0	7	0	32	4	0	0	7	4	11
